species,sci_name,mass,trophic_niche1,trophic_niche2,Breeding.Biome,start_abd,end_abd,abd_change,biomass_start,biomass_end,biomass_change
Chimney Swift,Chaetura pelagica,23.6,Invertivore,Aerial,Eastern Forest,25207693.8788942,7420451.95199171,-17787241.926902488,594901575.5419031,175122666.06700435,-419778909.4748988
Chipping Sparrow,Spizella passerina,12.2,Omnivore,Generalist,Forest Generalist,299783285.432156,220446725.346554,-79336560.08560202,3657356082.272303,2689450049.2279587,-967906033.0443444
Chuck-will's-widow,Antrostomus carolinensis,109,Invertivore,Aerial,Eastern Forest,14527785.370219,4967365.58912226,-9560419.78109674,1583528605.3538709,541442849.2143264,-1042085756.1395445
Chukar,Alectoris chukar,502.1,Granivore,Terrestrial,Introduced,242188.990693435,446634.927590576,204445.93689714101,121603092.22717372,224255397.14322823,102652304.91605452
Cinnamon Teal,Spatula cyanoptera,377.5,Herbivore aquatic,Aquatic,Wetland,1023312.09464223,413682.544898881,-609629.549743349,386300315.7274418,156165160.6993276,-230135155.0281142
Clapper Rail,Rallus crepitans,306,Aquatic predator,Terrestrial,Coasts,234403.238037629,171951.763832408,-62451.47420522099,71727390.83951448,52617239.73271685,-19110151.106797628
Clark's Grebe,Aechmophorus clarkii,1090.9,Aquatic predator,Aquatic,Wetland,210493.464437207,67668.8927389986,-142824.5716982084,229627320.35454914,73819995.08897358,-155807325.26557556
Clark's Nutcracker,Nucifraga columbiana,129.8,Omnivore,Insessorial,Western Forest,295883.005993946,294298.908516871,-1584.0974770750036,38405614.1780142,38199998.32548986,-205615.85252434015
Clay-colored Sparrow,Spizella pallida,11.2,Granivore,Generalist,Grassland,100637695.33009,57290701.0122537,-43346994.3178363,1127142187.697008,641655851.3372414,-485486336.3597665
Cliff Swallow,Petrochelidon pyrrhonota,21.6,Invertivore,Aerial,Habitat Generalist,66469992.6403766,102652609.6772,36182617.03682341,1435751841.0321345,2217296369.02752,781544527.9953856
Common Eider,Somateria mollissima,2060.9,Aquatic predator,Aquatic,Coasts,1217831.52932996,1837852.62017179,620021.09084183,2509828998.7961144,3787630464.912042,1277801466.1159277
