species,sci_name,mass,trophic_niche1,trophic_niche2
Hooded Warbler,Setophaga citrina,10.5,Invertivore,Insessorial
Horned Grebe,Podiceps auritus,453,Aquatic predator,Aquatic
Horned Lark,Eremophila alpestris,33.3,Omnivore,Terrestrial
House Finch,Haemorhous mexicanus,21.4,Granivore,Insessorial
House Sparrow,Passer domesticus,26.5,Granivore,Terrestrial
House Wren,Troglodytes aedon,10.9,Invertivore,Insessorial
Hudsonian Godwit,Limosa haemastica,253.3,Aquatic predator,Terrestrial
Hutton's Vireo,Vireo huttoni,11.3,Invertivore,Insessorial
Inca Dove,Columbina inca,47.5,Granivore,Terrestrial
Indigo Bunting,Passerina cyanea,14.7,Granivore,Terrestrial
Juniper Titmouse,Baeolophus ridgwayi,15.9,Invertivore,Insessorial
Kentucky Warbler,Geothlypis formosa,14,Invertivore,Generalist
Killdeer,Charadrius vociferus,96.4,Omnivore,Terrestrial
King Eider,Somateria spectabilis,1616.7,Aquatic predator,Aquatic
King Rail,Rallus elegans,313.3,Aquatic predator,Terrestrial
Ladder-backed Woodpecker,Dryobates scalaris,31.6,Invertivore,Insessorial
Lapland Longspur,Calcarius lapponicus,27.8,Granivore,Terrestrial
Lark Bunting,Calamospiza melanocorys,37.6,Omnivore,Generalist
Lark Sparrow,Chondestes grammacus,29,Granivore,Generalist
Laughing Gull,Leucophaeus atricilla,307.4,Aquatic predator,Aerial
Lawrence's Goldfinch,Spinus lawrencei,10.9,Granivore,Terrestrial
Lazuli Bunting,Passerina amoena,15.5,Omnivore,Insessorial
Least Bittern,Ixobrychus exilis,86.3,Aquatic predator,Terrestrial
Least Flycatcher,Empidonax minimus,10,Invertivore,Insessorial
Least Sandpiper,Calidris minutilla,22.9,Aquatic predator,Terrestrial
Least Tern,Sternula antillarum,45.9,Aquatic predator,Aerial
LeConte's Sparrow,Ammospiza leconteii,13,Granivore,Generalist
LeConte's Thrasher,Toxostoma lecontei,61.9,Invertivore,Terrestrial
Lesser Goldfinch,Spinus psaltria,8.8,Granivore,Insessorial
Lesser Nighthawk,Chordeiles acutipennis,48.4,Invertivore,Aerial
Lesser Scaup,Aythya affinis,819.5,Aquatic predator,Aquatic
Lesser Yellowlegs,Tringa flavipes,77.5,Aquatic predator,Terrestrial
Lewis's Woodpecker,Melanerpes lewis,105.8,Invertivore,Insessorial
Limpkin,Aramus guarauna,1080,Aquatic predator,Terrestrial
Lincoln's Sparrow,Melospiza lincolnii,16.6,Omnivore,Generalist
Little Blue Heron,Egretta caerulea,338.6,Aquatic predator,Terrestrial
Loggerhead Shrike,Lanius ludovicianus,51.6,Invertivore,Insessorial
Long-billed Curlew,Numenius americanus,583.9,Omnivore,Terrestrial
